994.0170	0.3928	66	67
996.3980	0.3925	64	65
998.7580	0.3921	62	63
1001.0950	0.3917	60	61
1003.4092	0.3914	58	59
1005.7009	0.3912	56	57
1007.9695	0.3911	54	55
1010.2147	0.3908	52	53
1012.4363	0.3909	50	51
1014.6341	0.3908	48	49
1016.8078	0.3909	46	47
1018.9571	0.3910	44	45
1021.0819	0.3912	42	43
1023.1819	0.3914	40	41
1025.2570	0.3918	38	39
1027.3068	0.3922	36	37
1029.3312	0.3927	34	35
1031.3300	0.3932	32	33
1033.3031	0.3939	30	31
1035.2502	0.3948	28	29
1037.1713	0.3958	26	27
1039.0660	0.3969	24	25
1040.9344	0.3981	22	23
1042.7762	0.3996	20	21
1044.5913	0.4013	18	19
1046.3796	0.4033	16	17
1048.1410	0.4058	14	15
1049.8754	0.4089	12	13
1051.5827	0.4128	10	11
1053.2627	0.4184	8	9
1054.9155	0.4267	6	7
1056.5410	0.4415	4	5
1058.1391	0.4783	2	3
1059.7097	0.7997	0	1
1062.0141	0.3216	2	1
1063.5159	0.3586	4	3
1064.9903	0.3738	6	5
1066.4371	0.3827	8	7
1067.8563	0.3888	10	9
1069.2481	0.3937	12	11
1070.6124	0.3977	14	13
1071.9492	0.4013	16	15
1073.2586	0.4046	18	17
1074.5406	0.4078	20	19
1075.7953	0.4107	22	21
1077.0228	0.4137	24	23
1078.2232	0.4167	26	25
1079.3965	0.4196	28	27
1080.5428	0.4225	30	29
1081.6622	0.4254	32	31
1082.7550	0.4284	34	33
1083.8211	0.4314	36	35
1084.8607	0.4345	38	37
1085.8740	0.4375	40	39
1086.8610	0.4407	42	41
1087.8220	0.4439	44	43
1088.7572	0.4472	46	45
1089.6666	0.4506	48	47
1090.5504	0.4539	50	49
1091.4090	0.4575	52	51
1092.2423	0.4611	54	53
1093.0507	0.4645	56	55
1093.8343	0.4682	58	57
1094.5934	0.4719	60	59
1095.3280	0.4757	62	61
1096.0390	0.4795	64	63
1096.7250	0.4834	66	65
1097.3890	0.4874	68	67
